country_name,year,num_outbreaks,diseases_list,total_confirmed_cases,total_outbreak_deaths,avg_cfr,iso3,total_vaccinations,people_fully_vaccinated,total_boosters,vaccinations_per_hundred,fully_vaccinated_per_hundred,max_daily_vaccinations,who_alerts,who_diseases,who_total_cases,who_total_deaths,who_avg_cfr,who_high_risk_alerts
Brunei,2023.0,,,,,,BRN,1293100.0,446714.0,340466.0,287.99,99.49,226.0,,,,,,
Bulgaria,2020.0,,,,,,BGR,4608.0,,,0.07,,2889.0,,,,,,
Bulgaria,2021.0,,,,,,BGR,3700660.0,1914910.0,275053.0,54.57,28.24,27038.0,,,,,,
Bulgaria,2022.0,,,,,,BGR,4603029.0,2074810.0,768430.0,67.87,30.59,24996.0,,,,,,
Bulgaria,2023.0,,,,,,BGR,4724199.0,2077996.0,,69.66,30.64,3294.0,,,,,,
Bulgaria,2024.0,,,,,,BGR,4726614.0,2078006.0,,69.69,30.64,80.0,,,,,,
Burkina Faso,2021.0,,,,,,BFA,1053330.0,649320.0,,4.65,2.86,39484.0,,,,,,
Burkina Faso,2022.0,,,,,,BFA,5117982.0,3335753.0,,22.57,14.71,38038.0,,,,,,
Burkina Faso,2023.0,,,,,,BFA,7893609.0,5232347.0,4056.0,34.81,23.08,29215.0,,,,,,
Burundi,2021.0,,,,,,BDI,7543.0,3533.0,,0.06,0.03,410.0,,,,,,
Burundi,2022.0,,,,,,BDI,30480.0,27957.0,283.0,0.24,0.22,190.0,,,,,,
Burundi,2023.0,,,,,,BDI,42252.0,36321.0,314.0,0.33,0.28,252.0,,,,,,
Cabo Verde,2015.0,1.0,Zika Virus,7580.0,0.0,0.0,,,,,,,,,,,,,
Cambodia,2005.0,1.0,H5N1 Avian Influenza,56.0,37.0,66.1,,,,,,,,,,,,,
Cambodia,2021.0,,,,,,KHM,30456720.0,13659518.0,3588183.0,181.64,81.46,289014.0,,,,,,
Cambodia,2022.0,,,,,,KHM,45217130.0,14607080.0,10424952.0,269.67,87.11,593431.0,,,,,,
Cambodia,2023.0,,,,,,KHM,47826645.0,14693274.0,10782710.0,285.23,87.63,29246.0,,,,,,
Cambodia,2024.0,,,,,,,,,,,,,1.0,Avian Influenza A (H5N1),0.0,0.0,,1.0
Cameroon,2010.0,1.0,Cholera,7822.0,518.0,6.6,,,,,,,,,,,,,
Cameroon,2021.0,,,,,,CMR,1020007.0,659641.0,,3.65,2.36,47269.0,,,,,,
Cameroon,2022.0,,,,,,CMR,4003595.0,2729600.0,454680.0,14.34,9.78,232219.0,,,,,,
Cameroon,2023.0,,,,,,CMR,4880572.0,3197286.0,803560.0,17.48,11.45,12860.0,,,,,,
Canada,2003.0,1.0,SARS,251.0,43.0,17.1,,,,,,,,,,,,,
Canada,2009.0,1.0,H1N1 Influenza Pandemic,25828.0,429.0,1.66,,,,,,,,,,,,,
Canada,2020.0,1.0,COVID-19,582000.0,15600.0,2.7,CAN,96170.0,2.0,,0.25,0.0,7200.0,,,,,,
Canada,2021.0,,,,,,CAN,68836546.0,29437317.0,7653083.0,179.01,76.55,545858.0,,,,,,
Canada,2022.0,,,,,,CAN,96303716.0,31731097.0,29954363.0,250.44,82.52,384186.0,,,,,,
Canada,2023.0,,,,,,CAN,102123709.0,31758251.0,34282144.0,265.57,82.59,84021.0,,,,,,
Canada,2024.0,,,,,,CAN,102877159.0,,34890285.0,267.53,,14240.0,,,,,,
Cape Verde,2021.0,,,,,,CPV,571130.0,255954.0,,96.29,43.15,6701.0,,,,,,
Cape Verde,2022.0,,,,,,CPV,859940.0,308720.0,749.0,144.98,52.05,2880.0,,,,,,
Cayman Islands,2020.0,,,,,,CYM,0.0,,,0.0,,275.0,,,,,,
Cayman Islands,2021.0,,,,,,CYM,130608.0,56891.0,,190.05,82.78,1024.0,,,,,,
Cayman Islands,2022.0,,,,,,CYM,150126.0,60539.0,24064.0,218.45,88.09,226.0,,,,,,
Cayman Islands,2023.0,,,,,,CYM,152148.0,60696.0,24064.0,221.4,88.32,20.0,,,,,,
Central African Republic,2021.0,,,,,,CAF,436772.0,334906.0,,7.83,6.0,18602.0,,,,,,
Central African Republic,2022.0,,,,,,CAF,2354281.0,1934575.0,214090.0,42.2,34.68,25469.0,,,,,,
Central African Republic,2023.0,,,,,,CAF,3342248.0,2484985.0,366221.0,59.91,44.54,11116.0,,,,,,
