country_name,iso3,year,health_expenditure_pct_gdp,country_code,vaccination_coverage_pct,vaccination_capacity_daily,active_who_alerts,outbreak_deaths
Cholera in Liberia,,2021,,,,,0.0,0.0
Cholera in the Comoros Islands,,2021,,,,,0.0,0.0
CoV) - update,,2013,,,,,0.0,0.0
CoV) – Saudi Arabia,,2021,,,,,2.0,0.0
CoV) – update,,2014,,,,,0.0,0.0
Colombia,COL,2000,4.312,CO,,,,
Colombia,COL,2001,4.577,CO,,,,
Colombia,COL,2002,4.495,CO,,,,
Colombia,COL,2003,4.608,CO,,,,
Colombia,COL,2004,4.407,CO,,,,
Colombia,COL,2005,4.499,CO,,,,
Colombia,COL,2006,4.712,CO,,,,
Colombia,COL,2007,4.749,CO,,,,
Colombia,COL,2008,4.911,CO,,,,
Colombia,COL,2009,5.438,CO,,,,
Colombia,COL,2010,5.29,CO,,,,
Colombia,COL,2011,5.15,CO,,,,
Colombia,COL,2012,4.984,CO,,,,
Colombia,COL,2013,5.304,CO,,,,
Colombia,COL,2014,5.474,CO,,,,
Colombia,COL,2015,5.741,CO,,,,
Colombia,COL,2016,5.731,CO,,,,
Colombia,COL,2017,5.882,CO,,,,
Colombia,COL,2018,5.905,CO,,,,
Colombia,COL,2019,5.994,CO,,,,
Colombia,COL,2020,6.73,CO,,,,
Colombia,,2021,,,54.6,414465.0,,
Colombia,,2022,,,71.09,278525.0,,
Colombia,,2023,,,71.72,15599.0,,
Comoros,,2021,,,29.41,5633.0,,
Comoros,,2022,,,47.45,7718.0,,
Congo,,2021,,,2.28,7088.0,,
Congo,,2022,,,10.96,2283.0,,
Cook Islands,,2021,,,73.38,812.0,,
Cook Islands,,2022,,,86.4,1433.0,,
Cook Islands,,2023,,,86.47,1.0,,
Costa Rica,CRI,2004,4.431,CS,,,,
Costa Rica,CRI,2005,4.321,CS,,,,
Costa Rica,CRI,2006,4.641,CS,,,,
Costa Rica,CRI,2007,4.685,CS,,,,
Costa Rica,CRI,2008,5.121,CS,,,,
Costa Rica,CRI,2009,5.638,CS,,,,
Costa Rica,CRI,2010,5.871,CS,,,,
Costa Rica,CRI,2011,5.919,CS,,,,
Costa Rica,CRI,2012,5.766,CS,,,,
Costa Rica,CRI,2013,5.751,CS,,,,
Costa Rica,CRI,2014,5.59,CS,,,,
Costa Rica,CRI,2015,5.682,CS,,,,
Costa Rica,CRI,2016,5.494,CS,,,,
Costa Rica,CRI,2017,5.282,CS,,,,
Costa Rica,CRI,2018,5.379,CS,,,,
Costa Rica,CRI,2019,5.339,CS,,,,
Costa Rica,CRI,2020,5.931,CS,,240.0,,
Costa Rica,,2021,,,67.66,87355.0,,
Costa Rica,,2022,,,82.82,57857.0,,
Costa Rica,,2023,,,84.35,7965.0,,
Cote d'Ivoire,,2021,,,7.68,121105.0,,
Cote d'Ivoire,,2022,,,41.41,119128.0,,
Cote d'Ivoire,,2023,,,43.2,30255.0,,
Croatia,HRV,2003,5.189,HR,,,,
Croatia,HRV,2004,5.261,HR,,,,
Croatia,HRV,2005,5.878,HR,,,,
Croatia,HRV,2006,5.921,HR,,,,
Croatia,HRV,2007,6.404,HR,,,,
Croatia,HRV,2008,6.481,HR,,,,
Croatia,HRV,2009,6.838,HR,,,,
Croatia,HRV,2010,6.792,HR,,,,
Croatia,HRV,2011,5.921,HR,,,,
Croatia,HRV,2012,6.049,HR,,,,
Croatia,HRV,2013,5.408,HR,,,,
Croatia,HRV,2014,5.445,HR,,,,
Croatia,HRV,2015,5.5,HR,,,,
Croatia,HRV,2016,5.522,HR,,,,
Croatia,HRV,2017,5.471,HR,,,,
Croatia,HRV,2018,5.505,HR,,,,
Croatia,HRV,2019,5.559,HR,,,,
Croatia,HRV,2020,6.469,HR,,1105.0,,
Croatia,,2021,,,48.47,35538.0,,
Croatia,,2022,,,55.84,18595.0,,
Croatia,,2023,,,55.87,292.0,,
Cuba,,2021,,,86.27,321878.0,,
Cuba,,2022,,,89.22,183021.0,,
Cuba,,2023,,,89.47,38967.0,,
Cuba,,2024,,,89.67,1952.0,,
Curacao,,2021,,,50.54,3452.0,,
Curacao,,2022,,,52.29,1741.0,,
Curacao,,2023,,,52.77,24.0,,
Cyprus,CYP,2003,2.496,CY,,,,
Cyprus,CYP,2004,2.248,CY,,,,
Cyprus,CYP,2005,2.244,CY,,,,
Cyprus,CYP,2006,2.336,CY,,,,
Cyprus,CYP,2007,2.301,CY,,,,
Cyprus,CYP,2008,2.528,CY,,,,
Cyprus,CYP,2009,2.778,CY,,,,
Cyprus,CYP,2010,2.999,CY,,,,
Cyprus,CYP,2011,3.077,CY,,,,
Cyprus,CYP,2012,3.029,CY,,,,
Cyprus,CYP,2013,3.193,CY,,,,
Cyprus,CYP,2014,2.984,CY,,,,
Cyprus,CYP,2015,2.862,CY,,,,
Cyprus,CYP,2016,2.787,CY,,,,
Cyprus,CYP,2017,2.748,CY,,,,
Cyprus,CYP,2018,2.869,CY,,,,
Cyprus,CYP,2019,3.83,CY,,,,
Cyprus,CYP,2020,6.329,CY,,,,
Cyprus,,2021,,,67.84,12513.0,,
Cyprus,,2022,,,72.1,7036.0,,
Cyprus,,2023,,,72.11,17.0,,
Czechia,CZE,2000,5.091,EZ,,,,
Czechia,CZE,2001,5.214,EZ,,,,
Czechia,CZE,2002,5.532,EZ,,,,
Czechia,CZE,2003,5.812,EZ,,,,
Czechia,CZE,2004,5.623,EZ,,,,
